,title,url
175,Building unimaginable shapes,"https://www.ted.com/talks/michael_hansmeyer_building_unimaginable_shapes
"
176,Let’s try emotional correctness,"https://www.ted.com/talks/sally_kohn_let_s_try_emotional_correctness
"
177,"Teach girls bravery, not perfection","https://www.ted.com/talks/reshma_saujani_teach_girls_bravery_not_perfection
"
178,How the US should use its superpower status,"https://www.ted.com/talks/ian_bremmer_how_the_us_should_use_its_superpower_status
"
179,Be suspicious of simple stories,"https://www.ted.com/talks/tyler_cowen_be_suspicious_of_stories
"
180,"Post-crash, investing in a better world","https://www.ted.com/talks/geoff_mulgan_post_crash_investing_in_a_better_world_1
"
181,"A modern take on piano, violin, cello","https://www.ted.com/talks/ahn_trio_a_modern_take_on_piano_violin_cello
"
182,A university for the coming singularity,"https://www.ted.com/talks/ray_kurzweil_announces_singularity_university
"
183,"Smash fear, learn anything","https://www.ted.com/talks/tim_ferriss_smash_fear_learn_anything
"
184,"A monkey that controls a robot with its thoughts. No, really.","https://www.ted.com/talks/miguel_nicolelis_a_monkey_that_controls_a_robot_with_its_thoughts_no_really
"
185,Exploring the mind of a killer,"https://www.ted.com/talks/jim_fallon_exploring_the_mind_of_a_killer
"
186,Social experiments to fight poverty,"https://www.ted.com/talks/esther_duflo_social_experiments_to_fight_poverty
"
187,Let's pool our medical data,"https://www.ted.com/talks/john_wilbanks_let_s_pool_our_medical_data
"
188,The art of the eco-mindshift,"https://www.ted.com/talks/natalie_jeremijenko_the_art_of_the_eco_mindshift
"
189,Growing evidence of brain plasticity,"https://www.ted.com/talks/michael_merzenich_on_the_elastic_brain
"
190,"Don't ask where I'm from, ask where I'm a local","https://www.ted.com/talks/taiye_selasi_don_t_ask_where_i_m_from_ask_where_i_m_a_local
"
191,High-altitude wind energy from kites!,"https://www.ted.com/talks/saul_griffith_on_kites_as_the_future_of_renewable_energy
"
192,A third way to think about aid,"https://www.ted.com/talks/jacqueline_novogratz_a_third_way_to_think_about_aid
"
193,The shared experience of absurdity,"https://www.ted.com/talks/charlie_todd_the_shared_experience_of_absurdity
"
194,Got a smartphone? Start broadcasting,"https://www.ted.com/talks/bruno_torturra_got_a_smartphone_start_broadcasting
"
195,How racism makes us sick,"https://www.ted.com/talks/david_r_williams_how_racism_makes_us_sick
"
196,The discovery that could rewrite physics,"https://www.ted.com/talks/allan_adams_the_discovery_that_could_rewrite_physics
"
197,Breakthrough designs for ultra-low-cost products,"https://www.ted.com/talks/r_a_mashelkar_breakthrough_designs_for_ultra_low_cost_products
"
198,The art of stillness,"https://www.ted.com/talks/pico_iyer_the_art_of_stillness
"
199,A sci-fi vision of love from a 318-year-old hologram,"https://www.ted.com/talks/monica_byrne_a_sci_fi_vision_of_love_from_a_318_year_old_hologram
"
200,4 ways to build a human company in the age of machines,"https://www.ted.com/talks/tim_leberecht_4_ways_to_build_a_human_company_in_the_age_of_machines
"
201,How state budgets are breaking US schools,"https://www.ted.com/talks/bill_gates_how_state_budgets_are_breaking_us_schools
"
202,The economic case for preschool,"https://www.ted.com/talks/timothy_bartik_the_economic_case_for_preschool
"
203,How too many rules at work keep you from getting things done,"https://www.ted.com/talks/yves_morieux_how_too_many_rules_at_work_keep_you_from_getting_things_done
"
204,Google's driverless car,"https://www.ted.com/talks/sebastian_thrun_google_s_driverless_car
"
205,Why is 'x' the unknown?,"https://www.ted.com/talks/terry_moore_why_is_x_the_unknown
"
206,How to make work-life balance work,"https://www.ted.com/talks/nigel_marsh_how_to_make_work_life_balance_work
"
207,What's the next window into our universe?,"https://www.ted.com/talks/andrew_connolly_what_s_the_next_window_into_our_universe
"
208,"""(Nothing But) Flowers"" with string quartet","https://www.ted.com/talks/david_byrne_sings_nothing_but_flowers
"
209,Political common ground in a polarized United States,"https://www.ted.com/talks/gretchen_carlson_david_brooks_political_common_ground_in_a_polarized_united_states
"
210,The four fish we're overeating -- and what to eat instead,"https://www.ted.com/talks/paul_greenberg_the_four_fish_we_re_overeating_and_what_to_eat_instead
"
211,We can reprogram life. How to do it wisely,"https://www.ted.com/talks/juan_enriquez_we_can_reprogram_life_how_to_do_it_wisely
"
212,What is so special about the human brain?,"https://www.ted.com/talks/suzana_herculano_houzel_what_is_so_special_about_the_human_brain
"
213,"Dance vs. powerpoint, a modest proposal","https://www.ted.com/talks/john_bohannon_dance_vs_powerpoint_a_modest_proposal
"
214,Hamilton vs. Madison and the birth of American partisanship,"https://www.ted.com/talks/noah_feldman_hamilton_vs_madison_and_the_birth_of_american_partisanship
"
215,Building a museum of museums on the web,"https://www.ted.com/talks/amit_sood_building_a_museum_of_museums_on_the_web
"
216,Health and the human mind,"https://www.ted.com/talks/marvin_minsky_on_health_and_the_human_mind
"
217,"Non-lethal weapons, a moral hazard?","https://www.ted.com/talks/stephen_coleman_the_moral_dangers_of_non_lethal_weapons
"
218,What intelligent machines can learn from a school of fish,"https://www.ted.com/talks/radhika_nagpal_what_intelligent_machines_can_learn_from_a_school_of_fish
"
219,A new way to study the brain's invisible secrets,"https://www.ted.com/talks/ed_boyden_baby_diapers_inspired_this_new_way_to_study_the_brain
"
220,What it takes to be a great leader,"https://www.ted.com/talks/roselinde_torres_what_it_takes_to_be_a_great_leader
"
221,The case for letting business solve social problems,"https://www.ted.com/talks/michael_porter_why_business_can_be_good_at_solving_social_problems
"
222,Why design should include everyone,"https://www.ted.com/talks/sinead_burke_why_design_should_include_everyone
"
223,"Designing books is no laughing matter. OK, it is.","https://www.ted.com/talks/chip_kidd_designing_books_is_no_laughing_matter_ok_it_is
"
224,A simple solution to the coming phosphorus crisis,"https://www.ted.com/talks/mohamed_hijri_a_simple_solution_to_the_coming_phosphorus_crisis
"
225,The killer American diet that's sweeping the planet,"https://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet
"
226,Here's how we take back the Internet,"https://www.ted.com/talks/edward_snowden_here_s_how_we_take_back_the_internet
"
227,I am my connectome,"https://www.ted.com/talks/sebastian_seung
"
228,A highly scientific taxonomy of haters,"https://www.ted.com/talks/negin_farsad_a_highly_scientific_taxonomy_of_haters
"
229,Own your body's data,"https://www.ted.com/talks/talithia_williams_own_your_body_s_data
"
230,How to get your ideas to spread,"https://www.ted.com/talks/seth_godin_on_sliced_bread
"
231,A mobile fridge for vaccines,"https://www.ted.com/talks/adam_grosser_and_his_sustainable_fridge
"
232,How to get back to work after a career break,"https://www.ted.com/talks/carol_fishman_cohen_how_to_get_back_to_work_after_a_career_break
"
233,Massively multi-player… thumb-wrestling?,"https://www.ted.com/talks/jane_mcgonigal_massively_multi_player_thumb_wrestling
"
234,Why aren't we more compassionate?,"https://www.ted.com/talks/daniel_goleman_on_compassion
"
235,A flirtatious aria,"https://www.ted.com/talks/danielle_de_niese_a_flirtatious_aria
"
236,How AI can bring on a second Industrial Revolution,"https://www.ted.com/talks/kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution
"
237,How we can eat our landscapes,"https://www.ted.com/talks/pam_warhurst_how_we_can_eat_our_landscapes
"
238,The secret US prisons you've never heard of before,"https://www.ted.com/talks/will_potter_the_secret_us_prisons_you_ve_never_heard_of_before
"
239,Autism — what we know (and what we don't know yet),"https://www.ted.com/talks/wendy_chung_autism_what_we_know_and_what_we_don_t_know_yet
"
240,Let's put birth control back on the agenda,"https://www.ted.com/talks/melinda_gates_let_s_put_birth_control_back_on_the_agenda
"
241,The camel's hump,"https://www.ted.com/talks/keith_bellows_on_the_camel_s_hump
"
242,Don't insist on English!,"https://www.ted.com/talks/patricia_ryan_ideas_in_all_languages_not_just_english
"
243,"Luke, a new prosthetic arm for soldiers","https://www.ted.com/talks/dean_kamen_previews_a_new_prosthetic_arm
"
244,Dive into an ocean photographer's world,"https://www.ted.com/talks/thomas_peschak_dive_into_an_ocean_photographer_s_world
"
245,A boat carrying 500 refugees sunk at sea. The story of two survivors,"https://www.ted.com/talks/melissa_fleming_a_boat_carrying_500_refugees_sunk_at_sea_the_story_of_two_survivors
"
246,What a driverless world could look like,"https://www.ted.com/talks/wanis_kabbaj_what_a_driverless_world_could_look_like
"
247,Why we make bad decisions,"https://www.ted.com/talks/dan_gilbert_researches_happiness
"
248,Questioning the universe,"https://www.ted.com/talks/stephen_hawking_asks_big_questions_about_the_universe
"
249,Ending hunger now,"https://www.ted.com/talks/josette_sheeran_ending_hunger_now
"
250,"The passing of time, caught in a single photo","https://www.ted.com/talks/stephen_wilkes_the_passing_of_time_caught_in_a_single_photo
"
