,0,1,2,3
700,865,342423,20,0
701,866,342427,4,0
702,867,342427,4,0
703,868,342427,7,0
704,869,342427,2,0
705,870,342421,17,0
706,871,342421,10,0
707,872,342421,3,0
708,873,342421,0,11
709,874,104056,2,0
710,875,104056,10,0
711,876,104065,11,0
712,877,104065,4,0
713,878,104065,4,0
714,879,104065,3,0
715,880,104065,13,0
716,881,104065,3,0
717,882,104065,3,0
718,883,104065,3,0
719,884,104065,3,0
720,885,104065,4,0
721,886,104065,3,0
722,887,104065,3,0
723,888,104065,3,0
724,889,104065,14,0
725,890,104065,3,0
726,891,104115,9,0
727,892,104115,9,0
728,893,104115,9,0
729,894,104115,10,0
730,895,342429,20,0
731,896,342429,14,0
732,897,342429,19,0
733,898,342429,16,0
734,899,342422,22,0
735,900,342422,22,0
736,901,342422,17,0
737,902,342422,18,0
738,903,104021,9,0
739,904,104021,9,0
740,905,104021,7,0
741,906,104021,9,0
742,907,104021,3,0
743,908,104021,14,0
744,909,104021,13,0
745,910,104021,15,0
746,911,104021,16,0
747,912,342428,18,0
748,913,342428,21,0
749,914,342428,3,0
750,915,104119,8,0
751,916,104119,3,0
752,917,104119,9,0
753,918,104119,8,0
754,919,104119,11,0
755,920,104119,9,0
756,921,104119,10,0
757,922,104119,0,5
758,923,506893,5,0
759,924,506893,11,0
760,925,506893,16,0
761,926,506893,3,0
762,927,506893,4,0
763,928,506893,3,0
764,929,506893,4,0
765,930,506893,5,0
766,931,506893,4,0
767,932,104116,10,0
768,933,104116,10,0
769,934,104116,12,0
770,935,104116,9,0
771,936,104116,9,0
772,937,104116,13,0
773,938,104116,11,0
774,939,104116,10,0
775,940,104116,3,0
776,941,104116,3,0
777,942,104116,3,0
778,943,104116,4,0
779,944,104116,3,0
780,945,507003,4,0
781,946,507003,4,0
782,947,507003,10,0
783,948,507003,25,0
784,949,507003,5,0
785,950,507003,5,0
786,951,507003,1,0
787,952,507003,34,0
788,953,507003,1,0
789,954,507003,1,0
790,955,507003,1,0
791,970,507000,15,0
792,971,104023,11,0
793,972,104023,11,0
794,973,104023,13,0
795,974,104023,7,0
796,975,104023,7,0
797,976,104023,12,0
798,977,104023,13,0
799,978,104023,3,0
800,979,506854,17,0
801,980,506854,14,0
802,981,506854,18,0
803,982,506854,15,0
804,983,506854,17,0
805,984,506854,14,0
806,985,506853,13,0
807,986,506853,20,0
808,987,506853,9,0
809,988,506853,11,0
810,989,506853,4,0
811,990,506853,9,0
812,991,506853,13,0
813,992,506853,9,0
814,993,506853,19,0
815,994,506853,20,0
816,995,506853,8,0
817,996,506853,8,0
818,997,324945,20,0
819,998,324945,19,0
820,999,324945,13,0
821,1000,324945,44,0
822,1001,324945,17,0
823,1002,324945,25,0
824,1003,104110,14,0
825,1004,104110,12,0
826,1005,104110,14,0
827,1006,104110,15,0
828,1007,104110,6,0
829,1008,104110,6,0
830,1009,104110,7,0
831,1010,104110,5,0
832,1011,104110,5,0
833,1012,104110,5,0
834,1013,104110,5,0
835,1014,104110,3,0
836,1015,104111,9,0
837,1016,104111,9,0
838,1017,104036,17,0
839,1018,104036,13,0
840,1019,104036,3,0
841,1020,104036,13,0
842,1021,215628,20,0
843,1022,215628,20,0
844,1023,215628,18,0
845,1024,215628,18,0
846,1025,215628,21,0
847,1026,215628,20,0
848,1027,215628,19,0
849,1028,215628,22,0
850,1029,215628,18,0
851,1030,215628,21,0
852,1031,215628,25,0
853,1032,215628,21,0
854,1033,215628,21,0
855,1034,207983,18,0
856,1035,207983,20,0
857,1036,207983,18,0
858,1037,207983,23,0
