,0,1
627,0.4757788944723619,12.0
628,0.4757788944723619,13.0
629,0.4757788944723619,14.0
630,0.4757788944723619,15.0
631,0.4757788944723619,16.0
632,0.4757788944723619,17.0
633,0.4757788944723619,18.0
634,0.4757788944723619,19.0
635,0.4757788944723619,20.0
636,0.4757788944723619,21.0
637,0.4757788944723619,22.0
638,0.4757788944723619,23.0
639,0.4757788944723619,24.0
640,0.49080402010050256,5.0
641,0.49080402010050256,6.0
642,0.49080402010050256,7.0
643,0.49080402010050256,8.0
644,0.49080402010050256,9.0
645,0.49080402010050256,10.0
646,0.49080402010050256,11.0
647,0.49080402010050256,12.0
648,0.49080402010050256,13.0
649,0.49080402010050256,14.0
650,0.49080402010050256,15.0
651,0.49080402010050256,16.0
652,0.49080402010050256,17.0
653,0.49080402010050256,18.0
654,0.49080402010050256,19.0
655,0.49080402010050256,20.0
656,0.49080402010050256,21.0
657,0.49080402010050256,22.0
658,0.49080402010050256,23.0
659,0.49080402010050256,24.0
660,0.5058291457286432,5.0
661,0.5058291457286432,6.0
662,0.5058291457286432,7.0
663,0.5058291457286432,8.0
664,0.5058291457286432,9.0
665,0.5058291457286432,10.0
666,0.5058291457286432,11.0
667,0.5058291457286432,12.0
668,0.5058291457286432,13.0
669,0.5058291457286432,14.0
670,0.5058291457286432,15.0
671,0.5058291457286432,16.0
672,0.5058291457286432,17.0
673,0.5058291457286432,18.0
674,0.5058291457286432,19.0
675,0.5058291457286432,20.0
676,0.5058291457286432,21.0
677,0.5058291457286432,22.0
678,0.5058291457286432,23.0
679,0.5058291457286432,24.0
680,0.520854271356784,5.0
681,0.520854271356784,6.0
682,0.520854271356784,7.0
683,0.520854271356784,8.0
684,0.520854271356784,9.0
685,0.520854271356784,10.0
686,0.520854271356784,11.0
687,0.520854271356784,12.0
688,0.520854271356784,13.0
689,0.520854271356784,14.0
690,0.520854271356784,15.0
691,0.520854271356784,16.0
692,0.520854271356784,17.0
693,0.520854271356784,18.0
694,0.520854271356784,19.0
695,0.520854271356784,20.0
696,0.520854271356784,21.0
697,0.520854271356784,22.0
698,0.520854271356784,23.0
699,0.520854271356784,24.0
700,0.5358793969849247,5.0
701,0.5358793969849247,6.0
702,0.5358793969849247,7.0
703,0.5358793969849247,8.0
704,0.5358793969849247,9.0
705,0.5358793969849247,10.0
706,0.5358793969849247,11.0
707,0.5358793969849247,12.0
708,0.5358793969849247,13.0
709,0.5358793969849247,14.0
710,0.5358793969849247,15.0
711,0.5358793969849247,16.0
712,0.5358793969849247,17.0
713,0.5358793969849247,18.0
714,0.5358793969849247,19.0
715,0.5358793969849247,20.0
716,0.5358793969849247,21.0
717,0.5358793969849247,22.0
718,0.5358793969849247,23.0
719,0.5358793969849247,24.0
720,0.5509045226130653,5.0
721,0.5509045226130653,6.0
722,0.5509045226130653,7.0
723,0.5509045226130653,8.0
724,0.5509045226130653,9.0
725,0.5509045226130653,10.0
726,0.5509045226130653,11.0
727,0.5509045226130653,12.0
728,0.5509045226130653,13.0
729,0.5509045226130653,14.0
730,0.5509045226130653,15.0
731,0.5509045226130653,16.0
732,0.5509045226130653,17.0
733,0.5509045226130653,18.0
734,0.5509045226130653,19.0
735,0.5509045226130653,20.0
736,0.5509045226130653,21.0
737,0.5509045226130653,22.0
738,0.5509045226130653,23.0
739,0.5509045226130653,24.0
740,0.5659296482412061,5.0
741,0.5659296482412061,6.0
742,0.5659296482412061,7.0
743,0.5659296482412061,8.0
744,0.5659296482412061,9.0
745,0.5659296482412061,10.0
746,0.5659296482412061,11.0
747,0.5659296482412061,12.0
748,0.5659296482412061,13.0
749,0.5659296482412061,14.0
750,0.5659296482412061,15.0
751,0.5659296482412061,16.0
752,0.5659296482412061,17.0
753,0.5659296482412061,18.0
754,0.5659296482412061,19.0
755,0.5659296482412061,20.0
756,0.5659296482412061,21.0
757,0.5659296482412061,22.0
758,0.5659296482412061,23.0
759,0.5659296482412061,24.0
760,0.5809547738693468,5.0
761,0.5809547738693468,6.0
762,0.5809547738693468,7.0
763,0.5809547738693468,8.0
764,0.5809547738693468,9.0
765,0.5809547738693468,10.0
766,0.5809547738693468,11.0
767,0.5809547738693468,12.0
768,0.5809547738693468,13.0
769,0.5809547738693468,14.0
770,0.5809547738693468,15.0
771,0.5809547738693468,16.0
772,0.5809547738693468,17.0
773,0.5809547738693468,18.0
774,0.5809547738693468,19.0
775,0.5809547738693468,20.0
776,0.5809547738693468,21.0
777,0.5809547738693468,22.0
778,0.5809547738693468,23.0
779,0.5809547738693468,24.0
780,0.5959798994974875,5.0
781,0.5959798994974875,6.0
782,0.5959798994974875,7.0
783,0.5959798994974875,8.0
784,0.5959798994974875,9.0
785,0.5959798994974875,10.0
786,0.5959798994974875,11.0
787,0.5959798994974875,12.0
788,0.5959798994974875,13.0
789,0.5959798994974875,14.0
790,0.5959798994974875,15.0
791,0.5959798994974875,16.0
792,0.5959798994974875,17.0
793,0.5959798994974875,18.0
794,0.5959798994974875,19.0
795,0.5959798994974875,20.0
796,0.5959798994974875,21.0
797,0.5959798994974875,22.0
798,0.5959798994974875,23.0
799,0.5959798994974875,24.0
800,0.6110050251256282,5.0
801,0.6110050251256282,6.0
802,0.6110050251256282,7.0
803,0.6110050251256282,8.0
804,0.6110050251256282,9.0
805,0.6110050251256282,10.0
806,0.6110050251256282,11.0
807,0.6110050251256282,12.0
808,0.6110050251256282,13.0
809,0.6110050251256282,14.0
810,0.6110050251256282,15.0
811,0.6110050251256282,16.0
812,0.6110050251256282,17.0
813,0.6110050251256282,18.0
814,0.6110050251256282,19.0
815,0.6110050251256282,20.0
816,0.6110050251256282,21.0
817,0.6110050251256282,22.0
818,0.6110050251256282,23.0
819,0.6110050251256282,24.0
820,0.6260301507537689,5.0
821,0.6260301507537689,6.0
822,0.6260301507537689,7.0
823,0.6260301507537689,8.0
824,0.6260301507537689,9.0
825,0.6260301507537689,10.0
826,0.6260301507537689,11.0
827,0.6260301507537689,12.0
828,0.6260301507537689,13.0
829,0.6260301507537689,14.0
830,0.6260301507537689,15.0
831,0.6260301507537689,16.0
832,0.6260301507537689,17.0
833,0.6260301507537689,18.0
834,0.6260301507537689,19.0
835,0.6260301507537689,20.0
836,0.6260301507537689,21.0
837,0.6260301507537689,22.0
838,0.6260301507537689,23.0
839,0.6260301507537689,24.0
840,0.6410552763819096,5.0
841,0.6410552763819096,6.0
842,0.6410552763819096,7.0
843,0.6410552763819096,8.0
844,0.6410552763819096,9.0
845,0.6410552763819096,10.0
846,0.6410552763819096,11.0
847,0.6410552763819096,12.0
848,0.6410552763819096,13.0
849,0.6410552763819096,14.0
850,0.6410552763819096,15.0
851,0.6410552763819096,16.0
852,0.6410552763819096,17.0
853,0.6410552763819096,18.0
854,0.6410552763819096,19.0
855,0.6410552763819096,20.0
856,0.6410552763819096,21.0
857,0.6410552763819096,22.0
858,0.6410552763819096,23.0
859,0.6410552763819096,24.0
860,0.6560804020100504,5.0
861,0.6560804020100504,6.0
862,0.6560804020100504,7.0
863,0.6560804020100504,8.0
864,0.6560804020100504,9.0
865,0.6560804020100504,10.0
866,0.6560804020100504,11.0
867,0.6560804020100504,12.0
868,0.6560804020100504,13.0
869,0.6560804020100504,14.0
870,0.6560804020100504,15.0
871,0.6560804020100504,16.0
872,0.6560804020100504,17.0
873,0.6560804020100504,18.0
874,0.6560804020100504,19.0
875,0.6560804020100504,20.0
876,0.6560804020100504,21.0
877,0.6560804020100504,22.0
878,0.6560804020100504,23.0
879,0.6560804020100504,24.0
880,0.671105527638191,5.0
881,0.671105527638191,6.0
882,0.671105527638191,7.0
883,0.671105527638191,8.0
884,0.671105527638191,9.0
885,0.671105527638191,10.0
886,0.671105527638191,11.0
887,0.671105527638191,12.0
888,0.671105527638191,13.0
889,0.671105527638191,14.0
890,0.671105527638191,15.0
891,0.671105527638191,16.0
892,0.671105527638191,17.0
893,0.671105527638191,18.0
894,0.671105527638191,19.0
