,max_depth,min_samples_leaf,learn_rate,accuracy
344,29.0,8.0,0.076778523,28.0
345,36.0,14.0,1.839731544,28.0
346,43.0,13.0,1.425704698,28.0
347,59.0,16.0,1.639395973,27.0
348,22.0,9.0,0.156912752,27.0
349,56.0,5.0,0.744563758,27.0
350,34.0,8.0,0.517516779,27.0
351,51.0,9.0,0.984966443,27.0
352,45.0,8.0,0.717852349,27.0
353,35.0,10.0,1.038389262,27.0
354,45.0,4.0,0.731208054,27.0
355,43.0,12.0,1.746241611,27.0
356,61.0,5.0,0.357248322,27.0
357,63.0,15.0,1.959932886,26.0
358,24.0,14.0,1.398993289,26.0
359,22.0,5.0,0.277114094,26.0
360,61.0,4.0,0.23704698,26.0
361,49.0,5.0,0.944899329,26.0
362,34.0,3.0,0.878120805,26.0
363,47.0,5.0,0.410671141,26.0
364,48.0,5.0,0.343892617,26.0
365,44.0,11.0,1.79966443,26.0
366,50.0,12.0,1.959932886,26.0
367,24.0,5.0,0.677785235,26.0
368,41.0,12.0,1.385637584,25.0
369,42.0,10.0,1.385637584,25.0
370,39.0,3.0,0.317181208,25.0
371,53.0,12.0,1.439060403,24.0
372,38.0,8.0,0.918187919,24.0
373,40.0,11.0,1.492483221,24.0
374,50.0,9.0,0.784630872,24.0
375,27.0,9.0,0.504161074,24.0
376,35.0,7.0,0.410671141,24.0
377,43.0,10.0,1.559261745,24.0
378,44.0,9.0,0.343892617,23.0
379,27.0,7.0,0.090134228,23.0
380,25.0,7.0,0.130201342,23.0
381,21.0,4.0,1.532550336,23.0
382,40.0,15.0,1.131879195,23.0
383,29.0,10.0,1.652751678,23.0
384,60.0,8.0,1.933221477,22.0
385,54.0,6.0,1.265436242,22.0
386,63.0,8.0,1.79966443,22.0
387,29.0,9.0,1.652751678,22.0
388,59.0,15.0,1.465771812,22.0
389,64.0,16.0,1.439060403,22.0
390,36.0,10.0,1.171946309,22.0
391,50.0,8.0,1.879798658,22.0
392,54.0,8.0,1.078456376,22.0
393,38.0,5.0,1.54590604,22.0
394,41.0,8.0,0.317181208,22.0
395,40.0,6.0,1.813020134,22.0
396,59.0,6.0,0.036711409,22.0
397,57.0,13.0,2.0,21.0
398,64.0,9.0,1.185302013,21.0
399,24.0,9.0,1.358926174,21.0
400,57.0,11.0,1.078456376,21.0
401,40.0,6.0,1.57261745,21.0
402,63.0,11.0,2.0,21.0
403,46.0,9.0,1.893154362,21.0
404,47.0,15.0,1.452416107,21.0
405,55.0,10.0,1.706174497,21.0
406,25.0,16.0,1.452416107,21.0
407,35.0,3.0,1.532550336,21.0
408,33.0,14.0,1.252080537,21.0
409,53.0,12.0,1.212013423,21.0
410,52.0,16.0,1.906510067,21.0
411,62.0,15.0,1.612684564,20.0
412,31.0,9.0,1.238724832,20.0
413,64.0,12.0,1.492483221,20.0
414,43.0,4.0,1.31885906,19.0
415,53.0,9.0,1.305503356,19.0
416,52.0,5.0,1.252080537,19.0
417,38.0,10.0,1.626040268,19.0
418,40.0,11.0,1.011677852,19.0
419,55.0,16.0,1.786308725,19.0
420,31.0,5.0,1.252080537,19.0
421,36.0,9.0,1.79966443,19.0
422,59.0,14.0,1.278791946,19.0
423,23.0,6.0,0.984966443,19.0
424,52.0,15.0,1.305503356,18.0
425,31.0,16.0,1.505838926,18.0
426,50.0,12.0,1.826375839,18.0
427,62.0,6.0,1.826375839,18.0
428,48.0,12.0,1.332214765,18.0
429,64.0,8.0,1.986644295,18.0
430,59.0,9.0,1.826375839,18.0
431,60.0,3.0,1.105167785,18.0
432,31.0,8.0,1.278791946,18.0
433,31.0,11.0,1.826375839,18.0
434,42.0,4.0,1.252080537,17.0
435,29.0,15.0,1.372281879,17.0
436,61.0,16.0,1.198657718,17.0
437,23.0,14.0,1.278791946,17.0
438,23.0,3.0,1.719530201,17.0
439,24.0,7.0,1.679463087,17.0
440,59.0,16.0,1.746241611,17.0
441,25.0,4.0,1.839731544,17.0
442,32.0,7.0,1.946577181,17.0
443,28.0,7.0,1.786308725,17.0
444,62.0,3.0,1.11852349,16.0
445,49.0,3.0,1.879798658,16.0
446,51.0,8.0,1.933221477,16.0
447,22.0,8.0,1.011677852,16.0
448,29.0,6.0,1.158590604,16.0
449,34.0,11.0,1.332214765,16.0
450,35.0,11.0,1.652751678,16.0
451,23.0,3.0,1.679463087,16.0
452,56.0,7.0,1.131879195,16.0
453,55.0,11.0,1.906510067,16.0
454,33.0,8.0,1.078456376,16.0
455,53.0,4.0,1.933221477,16.0
