symbol,data_values,time
568,624.3099900000001,2012-04-04
569,633.679977,2012-04-05
570,636.229996,2012-04-09
571,628.440018,2012-04-10
572,626.20002,2012-04-11
573,622.7699809999999,2012-04-12
574,605.22998,2012-04-13
575,580.1300200000001,2012-04-16
576,609.699989,2012-04-17
577,608.340012,2012-04-18
578,587.439987,2012-04-19
579,572.980003,2012-04-20
580,571.699974,2012-04-23
581,560.280006,2012-04-24
582,610.000023,2012-04-25
583,607.6999969999999,2012-04-26
584,603.000023,2012-04-27
585,583.9799879999999,2012-04-30
586,582.130013,2012-05-01
587,585.97998,2012-05-02
588,581.819992,2012-05-03
589,565.25,2012-05-04
590,569.480003,2012-05-07
591,568.18,2012-05-08
592,569.180023,2012-05-09
593,570.519974,2012-05-10
594,566.710007,2012-05-11
595,558.2199860000001,2012-05-14
596,553.169991,2012-05-15
597,546.0800019999999,2012-05-16
598,530.12001,2012-05-17
599,530.37999,2012-05-18
600,561.279976,2012-05-21
601,556.970024,2012-05-22
602,570.559975,2012-05-23
603,565.320015,2012-05-24
604,562.289986,2012-05-25
605,572.269974,2012-05-29
606,579.1699980000001,2012-05-30
607,577.7300190000001,2012-05-31
608,560.989983,2012-06-01
609,564.289978,2012-06-04
610,562.830025,2012-06-05
611,571.460022,2012-06-06
612,571.720001,2012-06-07
613,580.319984,2012-06-08
614,571.169975,2012-06-11
615,576.159996,2012-06-12
616,572.160011,2012-06-13
617,571.529984,2012-06-14
618,574.12999,2012-06-15
619,585.779976,2012-06-18
620,587.4100269999999,2012-06-19
621,585.739975,2012-06-20
622,577.669991,2012-06-21
623,582.099998,2012-06-22
624,570.77002,2012-06-25
625,572.0300219999999,2012-06-26
626,574.4999849999999,2012-06-27
627,569.04998,2012-06-28
628,584.0000150000001,2012-06-29
629,592.519997,2012-07-02
630,599.4099809999999,2012-07-03
631,609.9399950000001,2012-07-05
632,605.879982,2012-07-06
633,613.889992,2012-07-09
634,608.210022,2012-07-10
635,604.430016,2012-07-11
636,598.900009,2012-07-12
637,604.970001,2012-07-13
638,606.910019,2012-07-16
639,606.93998,2012-07-17
640,606.260017,2012-07-18
641,614.320015,2012-07-19
642,604.300026,2012-07-20
643,603.8300019999999,2012-07-23
644,600.919975,2012-07-24
645,574.970009,2012-07-25
646,574.8800200000001,2012-07-26
647,585.159988,2012-07-27
648,595.0300139999999,2012-07-30
649,610.759987,2012-07-31
650,606.8099900000001,2012-08-01
651,607.789986,2012-08-02
652,615.70002,2012-08-03
653,622.5500030000001,2012-08-06
654,620.910019,2012-08-07
655,619.860008,2012-08-08
656,620.7299879999999,2012-08-09
657,621.6999969999999,2012-08-10
658,630.0,2012-08-13
659,631.690025,2012-08-14
660,630.829979,2012-08-15
661,636.340012,2012-08-16
662,648.110001,2012-08-17
663,665.150017,2012-08-20
664,656.059982,2012-08-21
665,668.869995,2012-08-22
666,662.630013,2012-08-23
667,663.2199860000001,2012-08-24
668,675.679977,2012-08-27
669,674.800011,2012-08-28
670,673.469994,2012-08-29
671,663.869987,2012-08-30
672,665.240005,2012-08-31
673,674.970001,2012-09-04
674,670.230026,2012-09-05
675,676.270004,2012-09-06
676,680.43998,2012-09-07
677,662.739975,2012-09-10
678,660.5900190000001,2012-09-11
679,669.790016,2012-09-12
680,682.980011,2012-09-13
681,691.2800139999999,2012-09-14
682,699.7800219999999,2012-09-17
683,701.910004,2012-09-18
684,702.100021,2012-09-19
685,698.6999969999999,2012-09-20
686,700.089989,2012-09-21
687,690.790016,2012-09-24
688,673.5400089999999,2012-09-25
689,665.179977,2012-09-26
690,681.32,2012-09-27
691,667.100021,2012-09-28
692,659.389992,2012-10-01
693,661.309982,2012-10-02
694,671.449974,2012-10-03
695,666.799988,2012-10-04
696,652.589996,2012-10-05
697,638.170013,2012-10-08
698,635.850014,2012-10-09
699,640.909996,2012-10-10
700,628.099983,2012-10-11
701,629.710007,2012-10-12
702,634.760002,2012-10-15
703,649.789986,2012-10-16
704,644.610001,2012-10-17
705,632.6400070000001,2012-10-18
706,609.8400190000001,2012-10-19
707,634.029999,2012-10-22
708,613.3599929999999,2012-10-23
709,616.829979,2012-10-24
710,609.539986,2012-10-25
711,603.999992,2012-10-26
712,595.320007,2012-10-31
713,596.5400089999999,2012-11-01
714,576.800011,2012-11-02
715,584.620003,2012-11-05
716,582.849976,2012-11-06
717,558.000008,2012-11-07
718,537.7499849999999,2012-11-08
719,547.0599980000001,2012-11-09
720,542.829994,2012-11-12
721,542.900009,2012-11-13
722,536.880005,2012-11-14
723,525.619987,2012-11-15
724,527.680008,2012-11-16
725,565.730011,2012-11-19
726,560.9099809999999,2012-11-20
727,561.700012,2012-11-21
728,571.500023,2012-11-23
729,589.5300219999999,2012-11-26
730,584.780006,2012-11-27
731,582.940018,2012-11-28
732,589.3599780000001,2012-11-29
733,585.279991,2012-11-30
734,586.190025,2012-12-03
735,575.849976,2012-12-04
736,538.7900089999999,2012-12-05
737,547.239975,2012-12-06
738,533.2500150000001,2012-12-07
739,529.819977,2012-12-10
740,541.3900150000001,2012-12-11
741,539.0,2012-12-12
742,529.689987,2012-12-13
743,509.78998600000006,2012-12-14
744,518.829979,2012-12-17
745,533.900017,2012-12-18
746,526.3099900000001,2012-12-19
747,521.7300190000001,2012-12-20
748,519.330017,2012-12-21
749,520.169983,2012-12-24
750,512.999992,2012-12-26
751,515.060013,2012-12-27
752,509.589981,2012-12-28
753,532.169991,2012-12-31
754,549.029976,2013-01-02
755,542.099991,2013-01-03
756,526.999992,2013-01-04
757,523.900002,2013-01-07
758,525.31002,2013-01-08
759,517.100006,2013-01-09
760,523.509979,2013-01-10
761,520.300026,2013-01-11
762,501.750015,2013-01-14
763,485.920013,2013-01-15
764,506.089981,2013-01-16
765,502.68002300000006,2013-01-17
766,500.000015,2013-01-18
767,504.770004,2013-01-22
768,514.010002,2013-01-23
769,450.499977,2013-01-24
770,439.880001,2013-01-25
771,449.830002,2013-01-28
772,458.269981,2013-01-29
773,456.830002,2013-01-30
774,455.48999800000007,2013-01-31
775,453.619995,2013-02-01
776,442.320004,2013-02-04
777,457.840012,2013-02-05
778,457.350014,2013-02-06
779,468.220009,2013-02-07
780,474.980003,2013-02-08
781,479.93002300000006,2013-02-11
782,467.900002,2013-02-12
783,467.009995,2013-02-13
784,466.590012,2013-02-14
785,460.16001100000005,2013-02-15
786,459.990021,2013-02-19
787,448.850006,2013-02-20
788,446.060009,2013-02-21
789,450.80999800000006,2013-02-22
790,442.799988,2013-02-25
791,448.970009,2013-02-26
792,444.569988,2013-02-27
793,441.400009,2013-02-28
794,430.470013,2013-03-01
795,420.049988,2013-03-04
796,431.139988,2013-03-05
797,425.659996,2013-03-06
798,430.580002,2013-03-07
799,431.720001,2013-03-08
800,437.869995,2013-03-11
801,428.429993,2013-03-12
802,428.349991,2013-03-13
803,432.499992,2013-03-14
804,443.660007,2013-03-15
805,455.720016,2013-03-18
806,454.489975,2013-03-19
807,452.079987,2013-03-20
808,452.729988,2013-03-21
809,461.91001100000005,2013-03-22
810,463.580009,2013-03-25
811,461.140007,2013-03-26
812,452.079987,2013-03-27
813,442.66001100000005,2013-03-28
814,428.910004,2013-04-01
815,429.789997,2013-04-02
816,431.989994,2013-04-03
817,427.71999000000005,2013-04-04
818,423.199993,2013-04-05
819,426.209995,2013-04-08
820,426.98,2013-04-09
821,435.689999,2013-04-10
822,434.32999400000006,2013-04-11
823,429.800011,2013-04-12
824,419.85001,2013-04-15
825,426.240009,2013-04-16
826,402.800007,2013-04-17
827,392.049988,2013-04-18
828,390.530006,2013-04-19
829,398.670006,2013-04-22
830,406.12999,2013-04-23
831,405.459988,2013-04-24
832,408.380001,2013-04-25
833,417.199989,2013-04-26
834,430.119991,2013-04-29
835,442.779987,2013-04-30
836,439.290001,2013-05-01
837,445.519997,2013-05-02
838,449.980019,2013-05-03
839,460.709984,2013-05-06
840,458.660004,2013-05-07
841,463.839989,2013-05-08
842,456.7699740000001,2013-05-09
843,452.969994,2013-05-10
844,454.740021,2013-05-13
845,443.860012,2013-05-14
846,428.850002,2013-05-15
847,434.580013,2013-05-16
848,433.26001,2013-05-17
849,442.930004,2013-05-20
850,439.659996,2013-05-21
851,441.349995,2013-05-22
852,442.1399990000001,2013-05-23
853,445.150002,2013-05-24
854,441.44001,2013-05-28
855,444.949997,2013-05-29
856,451.580002,2013-05-30
857,449.730026,2013-05-31
858,450.720009,2013-06-03
859,449.30999,2013-06-04
860,445.110001,2013-06-05
861,438.459995,2013-06-06
862,441.810005,2013-06-07
863,438.889992,2013-06-10
864,437.600002,2013-06-11
865,432.189999,2013-06-12
866,435.959991,2013-06-13
867,430.050003,2013-06-14
868,432.000008,2013-06-17
869,431.769989,2013-06-18
870,422.999989,2013-06-19
871,416.840008,2013-06-20
872,413.500011,2013-06-21
873,402.540001,2013-06-24
874,402.62999,2013-06-25
875,398.069992,2013-06-26
876,393.779987,2013-06-27
877,396.53001,2013-06-28
878,409.219994,2013-07-01
879,418.490005,2013-07-02
880,420.799992,2013-07-03
881,417.419994,2013-07-05
882,415.050007,2013-07-08
883,422.349987,2013-07-09
884,420.730003,2013-07-10
885,427.289993,2013-07-11
886,426.51000199999993,2013-07-12
887,427.44001,2013-07-15
888,430.199993,2013-07-16
889,430.310009,2013-07-17
890,431.76000199999993,2013-07-18
891,424.949993,2013-07-19
892,426.30999800000006,2013-07-22
893,418.98999,2013-07-23
894,440.51000199999993,2013-07-24
895,438.499996,2013-07-25
896,440.990013,2013-07-26
897,447.790009,2013-07-29
898,453.320015,2013-07-30
899,452.529984,2013-07-31
900,456.679985,2013-08-01
901,462.53998600000006,2013-08-02
902,469.449997,2013-08-05
903,465.250008,2013-08-06
904,464.979988,2013-08-07
905,461.010017,2013-08-08
906,454.449974,2013-08-09
907,467.360016,2013-08-12
908,489.569977,2013-08-13
909,498.500008,2013-08-14
910,497.909981,2013-08-15
911,502.330002,2013-08-16
912,507.740005,2013-08-19
913,501.07,2013-08-20
914,502.360016,2013-08-21
915,502.959976,2013-08-22
916,501.020012,2013-08-23
917,502.970016,2013-08-26
918,488.589981,2013-08-27
919,490.8999940000001,2013-08-28
920,491.700012,2013-08-29
921,487.220016,2013-08-30
922,488.57999400000006,2013-09-03
923,498.690025,2013-09-04
924,495.2699740000001,2013-09-05
925,498.220001,2013-09-06
926,506.169983,2013-09-09
927,494.6399990000001,2013-09-10
928,467.709984,2013-09-11
929,472.690018,2013-09-12
930,464.899986,2013-09-13
931,450.119995,2013-09-16
932,455.320007,2013-09-17
933,464.680008,2013-09-18
934,472.299995,2013-09-19
935,467.410004,2013-09-20
936,490.64001500000006,2013-09-23
937,489.100006,2013-09-24
938,481.530006,2013-09-25
939,486.219994,2013-09-26
940,482.750008,2013-09-27
941,476.749977,2013-09-30
942,487.960007,2013-10-01
943,489.55999,2013-10-02
944,483.409996,2013-10-03
945,483.030014,2013-10-04
946,487.750015,2013-10-07
947,480.93998,2013-10-08
948,486.589989,2013-10-09
949,489.639992,2013-10-10
950,492.80999800000006,2013-10-11
951,496.039978,2013-10-14
952,498.679985,2013-10-15
953,501.110001,2013-10-16
954,504.499985,2013-10-17
955,508.889992,2013-10-18
956,521.3600230000001,2013-10-21
957,519.870003,2013-10-22
958,524.959999,2013-10-23
959,531.910011,2013-10-24
960,525.960022,2013-10-25
961,529.880005,2013-10-28
962,516.680023,2013-10-29
963,524.900024,2013-10-30
964,522.699974,2013-10-31
965,520.030006,2013-11-01
966,526.75,2013-11-04
967,525.4499969999999,2013-11-05
968,520.920013,2013-11-06
969,512.490021,2013-11-07
970,520.5600049999999,2013-11-08
971,519.050011,2013-11-11
972,520.009979,2013-11-12
973,520.6300200000001,2013-11-13
